idPerfil,idBanco,idBanco,Activo,Pasivo,Patrimonio,fecha,ActivoF,PasivoF,PatrimonioF
171,1,1,"5,809,277","5,515,940",293337,2021-09-30,5809277000.00,5515940000.00,293337000.00
172,2,2,"2,060,595","1,716,839",343756,2021-09-30,2060595000.00,1716839000.00,343756000.00
173,3,3,"30,278,076","25,937,821",4340255,2021-09-30,30278076000.00,25937821000.00,4340255000.00
174,4,4,"115,984,105","106,619,629",9364476,2021-09-30,115984105000.00,106619629000.00,9364476000.00
175,5,5,"91,460,417","82,843,352",8617065,2021-09-30,91460417000.00,82843352000.00,8617065000.00
176,6,6,"11,764,199","10,652,823",1111376,2021-09-30,11764199000.00,10652823000.00,1111376000.00
177,7,7,"3,805,357","3,492,143",313214,2021-09-30,3805357000.00,3492143000.00,313214000.00
178,8,8,"779,006","621,122",157884,2021-09-30,779006000.00,621122000.00,157884000.00
179,9,9,"3,249,575","2,893,180",356395,2021-09-30,3249575000.00,2893180000.00,356395000.00
180,10,10,"19,061,136","17,328,491",1732645,2021-09-30,19061136000.00,17328491000.00,1732645000.00
181,11,11,"1,485,212","1,368,805",116407,2021-09-30,1485212000.00,1368805000.00,116407000.00
182,12,12,"34,199,384","30,875,227",3324157,2021-09-30,34199384000.00,30875227000.00,3324157000.00
183,13,13,"33,320,286","30,234,188",3086098,2021-09-30,33320286000.00,30234188000.00,3086098000.00
184,14,14,"59,561,468","54,007,615",5553853,2021-09-30,59561468000.00,54007615000.00,5553853000.00
185,15,15,"2,056,519","1,381,735",674784,2021-09-30,2056519000.00,1381735000.00,674784000.00
186,16,16,"894,188","768,258",125930,2021-09-30,894188000.00,768258000.00,125930000.00
187,17,17,"563,242","506,857",56385,2021-09-30,563242000.00,506857000.00,56385000.00
188,1,1,"5,686,082","5,382,124",303958,2021-10-31,5686082000.00,5382124000.00,303958000.00
189,2,2,"2,082,353","1,739,845",342508,2021-10-31,2082353000.00,1739845000.00,342508000.00
190,3,3,"30,493,687","26,082,654",4411033,2021-10-31,30493687000.00,26082654000.00,4411033000.00
191,4,4,"119,259,432","109,728,440",9530992,2021-10-31,119259432000.00,109728440000.00,9530992000.00
192,5,5,"92,682,411","83,969,569",8712842,2021-10-31,92682411000.00,83969569000.00,8712842000.00
193,6,6,"11,893,705","10,760,062",1133643,2021-10-31,11893705000.00,10760062000.00,1133643000.00
194,7,7,"3,646,202","3,326,769",319433,2021-10-31,3646202000.00,3326769000.00,319433000.00
195,8,8,"816,127","657,466",158661,2021-10-31,816127000.00,657466000.00,158661000.00
196,9,9,"3,333,620","2,968,780",364840,2021-10-31,3333620000.00,2968780000.00,364840000.00
197,10,10,"18,914,042","17,151,004",1763038,2021-10-31,18914042000.00,17151004000.00,1763038000.00
198,11,11,"1,504,168","1,387,371",116797,2021-10-31,1504168000.00,1387371000.00,116797000.00
199,12,12,"35,097,326","31,750,880",3346446,2021-10-31,35097326000.00,31750880000.00,3346446000.00
200,13,13,"32,880,175","29,749,604",3130571,2021-10-31,32880175000.00,29749604000.00,3130571000.00
201,14,14,"60,133,950","54,529,597",5604353,2021-10-31,60133950000.00,54529597000.00,5604353000.00
202,15,15,"2,064,865","1,381,462",683403,2021-10-31,2064865000.00,1381462000.00,683403000.00
203,16,16,"907,157","780,402",126755,2021-10-31,907157000.00,780402000.00,126755000.00
204,17,17,"590,360","532,896",57464,2021-10-31,590360000.00,532896000.00,57464000.00
